Sample_Name	Acidaminococcus	Agathobacter	Agathobaculum	Alistipes	Anaerobutyricum	Anaeroplasma	Anaerostipes	Angelakisella	Aquabacterium	Bacteroides	Baileyella	Bittarella	Blautia	Breoghania	Brevundimonas	Butyricicoccus	Butyricimonas	Butyrivibrio	Caproiciproducens	Carboxydocella	Casaltella	Chania	Christensenella	Citrobacter	Clostridium	Congzhengia	Coprobacter	Coprococcus	Corynebacterium	Dakarella	Dehalobacter	Dialister	Dickeya	Diplocloster	Dorea	Drancourtella	Enterobacter	Enterocloster	Enterococcus	Escherichia	Eubacterium	Evtepia	Facklamia	Faecalibacterium	Faecalimonas	Falcatimonas	Flavonifractor	Fusicatenibacter	Gemmiger	Hespellia	Holdemanella	Hungatella	Intestinibacter	Intestinimonas	Iodidimonas	Jutongia	Klebsiella	Kluyvera	Konateibacter	Lachnoclostridium	Lachnospira	Lacrimispora	Lactobacillus	Lactococcus	Lactovum	Lentihominibacter	Luoshenia	Lutispora	Magnetospirillum	Marinicauda	Marseillibacter	Marvinbryantia	Massilioclostridium	Mediterraneibacter	Megamonas	Merdimmobilis	Mesosutterella	Methylomonas	Minwuia	Mobilibacterium	Mycoplasma	Negativibacillus	Neglectibacter	Neiella	Oribacterium	Oscillibacter	Oxalobacter	Pantoea	Pectobacterium	Peptococcus	Peribacillus	Petroclostridium	Phocaeicola	Phytobacter	Porcincola	Pseudocitrobacter	Rahnella	Romboutsia	Roseburia	Ruminococcus	Ruthenibacterium	Salmonella	Serratia	Shigella	Sodalis	Sporomusa	Staphylococcus	Streptococcus	Sutterella	Symbiopectobacterium	Trabulsiella	Vampirovibrio	Velocimicrobium	Vescimonas	Waltera	Weissella	Xenorhabdus	Yeguia	Acerihabitans	Acetivibrio	Actinobacillus	Acutalibacter	Affinibrenneria	Aminipila	Anaerobacterium	Anaeromassilibacillus	Anaerosolibacter	Anaerotaenia	Anaerotignum	Anaerotruncus	Arenimonas	Arsenophonus	Arsukibacterium	Asaccharospora	Atlantibacter	Azospira	Biostraticola	Bowmanella	Brenneria	Bruguierivorax	Buttiauxella	Caecibacterium	Campylobacter	Caproicibacter	Catenibacillus	Cedecea	Chimaeribacter	Cronobacter	Desnuesiella	Edwardsiella	Emergencia	Erwinia	Ewingella	Faecalicatena	Feifania	Fournierella	Franconibacter	Gallaecimonas	Gehongia	Gibbsiella	Gilliamella	Gluceribacter	Gorbachella	Gracilibacter	Grimontia	Haemophilus	Hafnia	Hominisplanchenecus	Ilyobacter	Jinshanibacter	Kosakonia	Lawsonibacter	Leclercia	Lelliottia	Ligilactobacillus	Limosilactobacillus	Loigolactobacillus	Mannheimia	Mixta	Mobilisporobacter	Morganella	Musicola	Nissabacter	Noviherbaspirillum	Oceanisphaera	Odoribacter	Oliverpabstia	Papillibacter	Parabacteroides	Phascolarctobacterium	Photobacterium	Pluralibacter	Prevotella	Providencia	Pseudenterobacter	Pseudescherichia	Pseudoflavonifractor	Pseudomonas	Pseudoruminococcus	Rheinheimera	Robinsoniella	Rosenbergiella	Rouxiella	Ructibacterium	Scandinavium	Shimwellia	Siccibacter	Sporobacter	Superficieibacter	Tatumella	Terrisporobacter	Thalassotalea	Thaumasiovibrio	Thermanaerosceptrum	Thiobacter	Thiosulfativibrio	Thorsellia	Tumebacillus	Vibrio	Wujia	Yersinia	Yokenella	Adlercreutzia	Agrilactobacillus	Anaerococcus	Anaerovorax	Bacillus	Bariatricus	Eggerthella	Eremococcus	Finegoldia	Gordonibacter	Herbaspirillum	Holdemania	Intestinibacillus	Latilactobacillus	Mammaliicoccus	Massilimicrobiota	Melissococcus	Mordavella	Muricomes	Paeniclostridium	Parasutterella	Peptoniphilus	Periweissella	Phyllobacterium	Ralstonia	Solibaculum	Suicoccus	Syntrophococcus	Thomasclavelia	Turicibacter	Tyzzerella	Veillonella	Butyribacter	Delftia	Kiloniella	Leuconostoc	Pseudoclostridium	Massilia	Monoglobus	Neisseria	Acholeplasma	Akkermansia	Anaerocolumna	Barnesiella	Bifidobacterium	Catenibacterium	Collinsella	Corticibacterium	Cutibacterium	Dechloromonas	Duncaniella	Duodenibacillus	Eisenbergiella	Haloplasma	Hwanghaeella	Ihubacter	Lacticaseibacillus	Longibaculum	Megasphaera	Metaprevotella	Paraclostridium	Pelobium	Prolixibacter	Raoultibacter	Solobacterium	Sporacetigenium	Stenotrophomonas
BOS09	1	2	5	1	7	1	5	1	1	14	1	2	39	1	3	3	1	2	1	1	1	1	2	9	6	1	1	1	1	1	1	6	1	1	9	3	9	1	19	4	22	1	1	61	1	1	1	14	1	2	1	2	2	6	1	4	78	2	1	1	7	2	12	6	1	2	3	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	7	2	1	3	1	1	1	11	4	1	4	7	6	20	15	1	1	2	8	1	1	1	7	1	1	1	1	1	20	50	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS11	0	1	4	0	13	0	28	2	0	10	0	0	167	0	0	13	0	0	0	0	0	5	2	65	194	0	0	32	13	0	0	71	17	1	52	0	270	1	8	23	204	1	0	164	3	2	1	32	104	1	0	1	18	12	0	0	16473	34	5	2	63	4	8	0	0	0	10	0	0	0	4	0	0	7	0	1	0	0	0	0	0	0	4	0	0	1	0	48	68	0	0	2	13	26	0	0	81	40	102	77	2	20	51	16	9	0	0	1	0	10	7	0	0	14	15	0	15	0	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	5	2	6	1	3	2	2	5	3	4	1	3	2	44	1	7	1	1	17	1	5	5	1	3	1	4	2	1	2	6	1	5	115	2	4	20	1	3	6	1	4	1	5	1	2	1	1	3	19	2	1	2	3	3	3	11	19	6	2	1	1	3	2	1	2	3	3	2	4	5	8	25	9	1	1	3	1	1	1	1	12	1	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS16	0	1	27	0	1099	0	13	0	0	246	0	0	1308	0	0	46	0	4	0	0	0	0	0	0	25	0	0	2	8	0	0	125	0	0	14	8	0	32	192	0	141	0	21	193	12	0	45	41	8	2	0	0	6	12	0	0	0	0	0	0	6	4	1022	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	79	0	0	0	0	1	4	401	0	0	0	0	0	0	112	122	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	4	91	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	810	1	1	1	3	4	485	1	14	3	98	1	1	7	1	3	1	1	7	50	1	5	11	13	2	1	7	3	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS21	1	1	0	0	1	0	2	0	0	2	0	0	16	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	6	0	0	3	0	0	2	0	0	4	0	0	16	0	1	0	1	8	0	0	0	0	0	0	0	3	0	0	1	2	1	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	6	3	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS23	0	0	2	0	0	0	2	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	28	0	0	0	10	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC	0	1	0	3	10	0	7	0	0	15	0	0	46	0	0	1	0	0	0	0	0	0	1	0	20	0	0	6	0	0	0	21	0	0	5	0	0	3	3	1	23	0	0	52	1	0	0	16	20	0	3	1	2	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	22	1	0	0	0	49	12	18	0	0	0	2	0	0	0	111	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	11	0	0	43	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	0	1	13	2	60	34	5	2	1	3	1	2	1	2	1	1	1	2	3	2	1	1	1	1	3	1	1	1
