Sample_Name	Acidaminococcus	Agathobacter	Agathobaculum	Alistipes	Anaerobutyricum	Anaeroplasma	Anaerostipes	Angelakisella	Aquabacterium	Bacteroides	Baileyella	Bittarella	Blautia	Breoghania	Brevundimonas	Butyricicoccus	Butyricimonas	Butyrivibrio	Caproiciproducens	Carboxydocella	Casaltella	Chania	Christensenella	Citrobacter	Clostridium	Congzhengia	Coprobacter	Coprococcus	Corynebacterium	Dakarella	Dehalobacter	Dialister	Dickeya	Diplocloster	Dorea	Drancourtella	Enterobacter	Enterocloster	Enterococcus	Escherichia	Eubacterium	Evtepia	Facklamia	Faecalibacterium	Faecalimonas	Falcatimonas	Flavonifractor	Fusicatenibacter	Gemmiger	Hespellia	Holdemanella	Hungatella	Intestinibacter	Intestinimonas	Iodidimonas	Jutongia	Klebsiella	Kluyvera	Konateibacter	Lachnoclostridium	Lachnospira	Lacrimispora	Lactobacillus	Lactococcus	Lactovum	Lentihominibacter	Luoshenia	Lutispora	Magnetospirillum	Marinicauda	Marseillibacter	Marvinbryantia	Massilioclostridium	Mediterraneibacter	Megamonas	Merdimmobilis	Mesosutterella	Methylomonas	Minwuia	Mobilibacterium	Mycoplasma	Negativibacillus	Neglectibacter	Neiella	Oribacterium	Oscillibacter	Oxalobacter	Pantoea	Pectobacterium	Peptococcus	Peribacillus	Petroclostridium	Phocaeicola	Phytobacter	Porcincola	Pseudocitrobacter	Rahnella	Romboutsia	Roseburia	Ruminococcus	Ruthenibacterium	Salmonella	Serratia	Shigella	Sodalis	Sporomusa	Staphylococcus	Streptococcus	Sutterella	Symbiopectobacterium	Trabulsiella	Vampirovibrio	Velocimicrobium	Vescimonas	Waltera	Weissella	Xenorhabdus	Yeguia	Acerihabitans	Acetivibrio	Actinobacillus	Acutalibacter	Affinibrenneria	Aminipila	Anaerobacterium	Anaeromassilibacillus	Anaerosolibacter	Anaerotaenia	Anaerotignum	Anaerotruncus	Arenimonas	Arsenophonus	Arsukibacterium	Asaccharospora	Atlantibacter	Azospira	Biostraticola	Bowmanella	Brenneria	Bruguierivorax	Buttiauxella	Caecibacterium	Campylobacter	Caproicibacter	Catenibacillus	Cedecea	Chimaeribacter	Cronobacter	Desnuesiella	Edwardsiella	Emergencia	Erwinia	Ewingella	Faecalicatena	Feifania	Fournierella	Franconibacter	Gallaecimonas	Gehongia	Gibbsiella	Gilliamella	Gluceribacter	Gorbachella	Gracilibacter	Grimontia	Haemophilus	Hafnia	Hominisplanchenecus	Ilyobacter	Jinshanibacter	Kosakonia	Lawsonibacter	Leclercia	Lelliottia	Ligilactobacillus	Limosilactobacillus	Loigolactobacillus	Mannheimia	Mixta	Mobilisporobacter	Morganella	Musicola	Nissabacter	Noviherbaspirillum	Oceanisphaera	Odoribacter	Oliverpabstia	Papillibacter	Parabacteroides	Phascolarctobacterium	Photobacterium	Pluralibacter	Prevotella	Providencia	Pseudenterobacter	Pseudescherichia	Pseudoflavonifractor	Pseudomonas	Pseudoruminococcus	Rheinheimera	Robinsoniella	Rosenbergiella	Rouxiella	Ructibacterium	Scandinavium	Shimwellia	Siccibacter	Sporobacter	Superficieibacter	Tatumella	Terrisporobacter	Thalassotalea	Thaumasiovibrio	Thermanaerosceptrum	Thiobacter	Thiosulfativibrio	Thorsellia	Tumebacillus	Vibrio	Wujia	Yersinia	Yokenella	Adlercreutzia	Agrilactobacillus	Anaerococcus	Anaerovorax	Bacillus	Bariatricus	Eggerthella	Eremococcus	Finegoldia	Gordonibacter	Herbaspirillum	Holdemania	Intestinibacillus	Latilactobacillus	Mammaliicoccus	Massilimicrobiota	Melissococcus	Mordavella	Muricomes	Paeniclostridium	Parasutterella	Peptoniphilus	Periweissella	Phyllobacterium	Ralstonia	Solibaculum	Suicoccus	Syntrophococcus	Thomasclavelia	Turicibacter	Tyzzerella	Veillonella	Butyribacter	Delftia	Kiloniella	Leuconostoc	Pseudoclostridium	Massilia	Monoglobus	Neisseria	Acholeplasma	Akkermansia	Anaerocolumna	Barnesiella	Bifidobacterium	Catenibacterium	Collinsella	Corticibacterium	Cutibacterium	Dechloromonas	Duncaniella	Duodenibacillus	Eisenbergiella	Haloplasma	Hwanghaeella	Ihubacter	Lacticaseibacillus	Longibaculum	Megasphaera	Metaprevotella	Paraclostridium	Pelobium	Prolixibacter	Raoultibacter	Solobacterium	Sporacetigenium	Stenotrophomonas
BOS09	0.0016313213703099511	0.0032626427406199023	0.008156606851549755	0.0016313213703099511	0.011419249592169658	0.0016313213703099511	0.008156606851549755	0.0016313213703099511	0.0016313213703099511	0.022838499184339316	0.0016313213703099511	0.0032626427406199023	0.0636215334420881	0.0016313213703099511	0.004893964110929853	0.004893964110929853	0.0016313213703099511	0.0032626427406199023	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0032626427406199023	0.01468189233278956	0.009787928221859706	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.009787928221859706	0.0016313213703099511	0.0016313213703099511	0.01468189233278956	0.004893964110929853	0.01468189233278956	0.0016313213703099511	0.03099510603588907	0.0065252854812398045	0.03588907014681892	0.0016313213703099511	0.0016313213703099511	0.09951060358890701	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.022838499184339316	0.0016313213703099511	0.0032626427406199023	0.0016313213703099511	0.0032626427406199023	0.0032626427406199023	0.009787928221859706	0.0016313213703099511	0.0065252854812398045	0.1272430668841762	0.0032626427406199023	0.0016313213703099511	0.0016313213703099511	0.011419249592169658	0.0032626427406199023	0.01957585644371941	0.009787928221859706	0.0016313213703099511	0.0032626427406199023	0.004893964110929853	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0032626427406199023	0.0016313213703099511	0.0016313213703099511	0.0032626427406199023	0.0016313213703099511	0.0032626427406199023	0.0016313213703099511	0.0016313213703099511	0.0032626427406199023	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.011419249592169658	0.0032626427406199023	0.0016313213703099511	0.004893964110929853	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.01794453507340946	0.0065252854812398045	0.0016313213703099511	0.0065252854812398045	0.011419249592169658	0.009787928221859706	0.03262642740619902	0.024469820554649267	0.0016313213703099511	0.0016313213703099511	0.0032626427406199023	0.013050570962479609	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.011419249592169658	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.0016313213703099511	0.03262642740619902	0.08156606851549755	0.0032626427406199023	0.0016313213703099511	0.0016313213703099511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS11	0	5.181078700585462e-5	2.0724314802341847e-4	0	6.7354023107611e-4	0	0.0014507020361639294	1.0362157401170923e-4	0	5.181078700585462e-4	0	0	0.00865240142997772	0	0	6.7354023107611e-4	0	0	0	0	0	2.590539350292731e-4	1.0362157401170923e-4	0.0033677011553805503	0.010051292679135796	0	0	0.0016579451841873477	6.7354023107611e-4	0	0	0.003678565877415678	8.807833790995286e-4	5.181078700585462e-5	0.00269416092430444	0	0.013988912491580748	5.181078700585462e-5	4.1448629604683694e-4	0.0011916481011346562	0.010569400549194342	5.181078700585462e-5	0	0.008496969068960157	1.5543236101756385e-4	1.0362157401170923e-4	5.181078700585462e-5	0.0016579451841873477	0.00538832184860888	5.181078700585462e-5	0	5.181078700585462e-5	9.325941661053832e-4	6.217294440702554e-4	0	0	0.8534790943474432	0.0017615667581990571	2.590539350292731e-4	1.0362157401170923e-4	0.003264079581368841	2.0724314802341847e-4	4.1448629604683694e-4	0	0	0	5.181078700585462e-4	0	0	0	2.0724314802341847e-4	0	0	3.6267550904098235e-4	0	5.181078700585462e-5	0	0	0	0	0	0	2.0724314802341847e-4	0	0	5.181078700585462e-5	0	0.0024869177762810216	0.0035231335163981143	0	0	1.0362157401170923e-4	6.7354023107611e-4	0.00134708046215222	0	0	0.004196673747474224	0.002072431480234185	0.005284700274597171	0.003989430599450805	1.0362157401170923e-4	0.0010362157401170924	0.0026423501372985856	8.289725920936739e-4	4.662970830526916e-4	0	0	5.181078700585462e-5	0	5.181078700585462e-4	3.6267550904098235e-4	0	0	7.253510180819647e-4	7.771618050878193e-4	0	7.771618050878193e-4	0	2.590539350292731e-4	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	1.5543236101756385e-4	5.181078700585462e-5	1.5543236101756385e-4	5.181078700585462e-5	2.590539350292731e-4	1.0362157401170923e-4	3.108647220351277e-4	5.181078700585462e-5	1.5543236101756385e-4	1.0362157401170923e-4	1.0362157401170923e-4	2.590539350292731e-4	1.5543236101756385e-4	2.0724314802341847e-4	5.181078700585462e-5	1.5543236101756385e-4	1.0362157401170923e-4	0.0022796746282576033	5.181078700585462e-5	3.6267550904098235e-4	5.181078700585462e-5	5.181078700585462e-5	8.807833790995286e-4	5.181078700585462e-5	2.590539350292731e-4	2.590539350292731e-4	5.181078700585462e-5	1.5543236101756385e-4	5.181078700585462e-5	2.0724314802341847e-4	1.0362157401170923e-4	5.181078700585462e-5	1.0362157401170923e-4	3.108647220351277e-4	5.181078700585462e-5	2.590539350292731e-4	0.005958240505673281	1.0362157401170923e-4	2.0724314802341847e-4	0.0010362157401170924	5.181078700585462e-5	1.5543236101756385e-4	3.108647220351277e-4	5.181078700585462e-5	2.0724314802341847e-4	5.181078700585462e-5	2.590539350292731e-4	5.181078700585462e-5	1.0362157401170923e-4	5.181078700585462e-5	5.181078700585462e-5	1.5543236101756385e-4	9.844049531112379e-4	1.0362157401170923e-4	5.181078700585462e-5	1.0362157401170923e-4	1.5543236101756385e-4	1.5543236101756385e-4	1.5543236101756385e-4	5.699186570644008e-4	9.844049531112379e-4	3.108647220351277e-4	1.0362157401170923e-4	5.181078700585462e-5	5.181078700585462e-5	1.5543236101756385e-4	1.0362157401170923e-4	5.181078700585462e-5	1.0362157401170923e-4	1.5543236101756385e-4	1.5543236101756385e-4	1.0362157401170923e-4	2.0724314802341847e-4	2.590539350292731e-4	4.1448629604683694e-4	0.0012952696751463654	4.662970830526916e-4	5.181078700585462e-5	5.181078700585462e-5	1.5543236101756385e-4	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	5.181078700585462e-5	6.217294440702554e-4	5.181078700585462e-5	6.217294440702554e-4	7.253510180819647e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS16	0	1.3324450366422385e-4	0.003597601598934044	0	0.146435709526982	0	0.00173217854763491	0	0	0.03277814790139907	0	0	0.1742838107928048	0	0	0.006129247168554297	0	5.329780146568954e-4	0	0	0	0	0	0	0.0033311125916055963	0	0	2.664890073284477e-4	0.0010659560293137908	0	0	0.016655562958027982	0	0	0.001865423051299134	0.0010659560293137908	0	0.004263824117255163	0.02558294470353098	0	0.018787475016655564	0	0.002798134576948701	0.025716189207195202	0.0015989340439706862	0	0.005996002664890073	0.0054630246502331775	0.0010659560293137908	2.664890073284477e-4	0	0	7.994670219853431e-4	0.0015989340439706862	0	0	0	0	0	0	7.994670219853431e-4	5.329780146568954e-4	0.13617588274483677	0	0	0	0	0	0	0	0	0	0	0.054896735509660226	0	0	0	0	0	0	0	0	5.329780146568954e-4	0	0	1.3324450366422385e-4	0	0	0	0	0	0	0.010526315789473684	0	0	0	0	1.3324450366422385e-4	5.329780146568954e-4	0.05343104596935377	0	0	0	0	0	0	0.014923384410393072	0.01625582944703531	0	0	0	0	0	0	0	0	0	0	0	2.664890073284477e-4	0	0	0	6.662225183211193e-4	0	9.32711525649567e-4	0	0	9.32711525649567e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014656895403064624	0	0	0	0	0	0	0	0.0011992005329780147	0	0	0	0	0	0	0	0	0	0	0	0	5.329780146568954e-4	0.01212524983344437	1.3324450366422385e-4	0	0	0	0	0	0	0	0	1.3324450366422385e-4	0	1.3324450366422385e-4	1.3324450366422385e-4	0	0	0	0	0	0	0	3.9973351099267156e-4	0	0	0	2.664890073284477e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.664890073284477e-4	1.3324450366422385e-4	0.10792804796802132	1.3324450366422385e-4	1.3324450366422385e-4	1.3324450366422385e-4	3.9973351099267156e-4	5.329780146568954e-4	0.06462358427714857	1.3324450366422385e-4	0.001865423051299134	3.9973351099267156e-4	0.013057961359093937	1.3324450366422385e-4	1.3324450366422385e-4	9.32711525649567e-4	1.3324450366422385e-4	3.9973351099267156e-4	1.3324450366422385e-4	1.3324450366422385e-4	9.32711525649567e-4	0.006662225183211193	1.3324450366422385e-4	6.662225183211193e-4	0.0014656895403064624	0.00173217854763491	2.664890073284477e-4	1.3324450366422385e-4	9.32711525649567e-4	3.9973351099267156e-4	2.664890073284477e-4	0.002664890073284477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS21	0.007042253521126761	0.007042253521126761	0	0	0.007042253521126761	0	0.014084507042253521	0	0	0.014084507042253521	0	0	0.11267605633802817	0	0	0	0	0	0	0	0	0	0	0	0.02112676056338028	0	0	0.007042253521126761	0	0	0	0.04225352112676056	0	0	0.02112676056338028	0	0	0.014084507042253521	0	0	0.028169014084507043	0	0	0.11267605633802817	0	0.007042253521126761	0	0.007042253521126761	0.056338028169014086	0	0	0	0	0	0	0	0.02112676056338028	0	0	0.007042253521126761	0.014084507042253521	0.007042253521126761	0.04225352112676056	0	0	0	0	0	0	0	0	0	0	0.014084507042253521	0	0	0	0	0	0	0	0	0	0	0	0.007042253521126761	0	0	0	0	0	0	0	0	0	0	0	0.014084507042253521	0.04225352112676056	0.02112676056338028	0	0.007042253521126761	0	0.014084507042253521	0	0	0	0.007042253521126761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007042253521126761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007042253521126761	0	0	0	0	0	0	0	0	0	0	0	0.014084507042253521	0	0	0	0	0	0	0	0	0	0.007042253521126761	0	0	0	0	0	0	0	0	0	0.007042253521126761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007042253521126761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007042253521126761	0.22535211267605634	0.007042253521126761	0.007042253521126761	0.007042253521126761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS23	0	0	0.013422818791946308	0	0	0	0.013422818791946308	0	0	0.006711409395973154	0	0	0.1610738255033557	0	0	0	0	0	0	0	0	0	0	0	0.026845637583892617	0	0	0.006711409395973154	0	0	0	0	0	0	0.013422818791946308	0	0	0	0	0	0.0738255033557047	0	0	0.18791946308724833	0	0	0	0.06711409395973154	0.040268456375838924	0.006711409395973154	0	0	0	0	0	0	0	0	0	0	0	0	0.006711409395973154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006711409395973154	0	0	0	0	0	0	0.006711409395973154	0	0	0	0	0	0.06040268456375839	0.020134228187919462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013422818791946308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006711409395973154	0	0	0	0	0	0	0	0	0	0	0	0	0.006711409395973154	0	0	0	0.006711409395973154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006711409395973154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006711409395973154	0	0	0	0	0	0	0	0	0	0	0	0.006711409395973154	0.006711409395973154	0.2214765100671141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC	0	0.0013477088948787063	0	0.004043126684636119	0.013477088948787063	0	0.009433962264150943	0	0	0.02021563342318059	0	0	0.06199460916442048	0	0	0.0013477088948787063	0	0	0	0	0	0	0.0013477088948787063	0	0.026954177897574125	0	0	0.008086253369272238	0	0	0	0.02830188679245283	0	0	0.006738544474393531	0	0	0.004043126684636119	0.004043126684636119	0.0013477088948787063	0.03099730458221024	0	0	0.07008086253369272	0.0013477088948787063	0	0	0.0215633423180593	0.026954177897574125	0	0.004043126684636119	0.0013477088948787063	0.0026954177897574125	0	0	0	0	0	0	0	0.0013477088948787063	0.0013477088948787063	0.006738544474393531	0	0	0	0	0	0	0	0	0	0	0.016172506738544475	0	0	0.0013477088948787063	0	0	0	0	0.0013477088948787063	0	0	0	0.01078167115902965	0	0	0	0	0	0	0.029649595687331536	0.0013477088948787063	0	0	0	0.0660377358490566	0.016172506738544475	0.02425876010781671	0	0	0	0.0026954177897574125	0	0	0	0.1495956873315364	0.004043126684636119	0	0	0	0	0	0	0	0	0	0	0.0013477088948787063	0	0	0	0.0013477088948787063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005390835579514825	0	0.0013477088948787063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026954177897574125	0	0	0.013477088948787063	0.014824797843665768	0	0	0.057951482479784364	0	0	0	0.0026954177897574125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013477088948787063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013477088948787063	0	0	0	0	0	0	0	0	0	0.0026954177897574125	0	0	0	0	0	0	0.0026954177897574125	0	0	0	0	0	0	0	0.0026954177897574125	0.0013477088948787063	0.0013477088948787063	0	0	0.0026954177897574125	0	0	0	0	0	0	0.0013477088948787063	0.01752021563342318	0.0026954177897574125	0.08086253369272237	0.04582210242587601	0.006738544474393531	0.0026954177897574125	0.0013477088948787063	0.004043126684636119	0.0013477088948787063	0.0026954177897574125	0.0013477088948787063	0.0026954177897574125	0.0013477088948787063	0.0013477088948787063	0.0013477088948787063	0.0026954177897574125	0.004043126684636119	0.0026954177897574125	0.0013477088948787063	0.0013477088948787063	0.0013477088948787063	0.0013477088948787063	0.004043126684636119	0.0013477088948787063	0.0013477088948787063	0.0013477088948787063
