Sample_Name	Acidaminococcus	Agathobacter	Agathobaculum	Alistipes	Anaeroplasma	Anaerostipes	Angelakisella	Aquabacterium	Bacteroides	Bittarella	Blautia	Breoghania	Brevundimonas	Butyricicoccus	Butyrivibrio	Caproiciproducens	Carboxydocella	Casaltella	Chania	Citrobacter	Clostridium	Congzhengia	Coprobacter	Coprococcus	Dakarella	Dehalobacter	Dialister	Dickeya	Diplocloster	Drancourtella	Enterobacter	Enterocloster	Enterococcus	Escherichia	Evtepia	Facklamia	Faecalibacterium	Faecalimonas	Falcatimonas	Fusicatenibacter	Gemmiger	Hespellia	Holdemanella	Hungatella	Intestinimonas	Iodidimonas	Jutongia	Klebsiella	Kluyvera	Lachnoclostridium	Lachnospira	Lacrimispora	Lactobacillus	Lactococcus	Lentihominibacter	Luoshenia	Lutispora	Magnetospirillum	Marinicauda	Marvinbryantia	Massilioclostridium	Mediterraneibacter	Megamonas	Merdimmobilis	Methylomonas	Minwuia	Mobilibacterium	Mycoplasma	Negativibacillus	Neiella	Oribacterium	Oscillibacter	Oxalobacter	Pantoea	Peptococcus	Peribacillus	Petroclostridium	Phocaeicola	Phytobacter	Pseudocitrobacter	Rahnella	Romboutsia	Roseburia	Ruminococcus	Salmonella	Serratia	Shigella	Sodalis	Sporomusa	Streptococcus	Sutterella	Symbiopectobacterium	Trabulsiella	Vampirovibrio	Vescimonas	Waltera	Weissella	Xenorhabdus	Yeguia	Acetivibrio	Actinobacillus	Acutalibacter	Affinibrenneria	Aminipila	Anaeromassilibacillus	Anaerosolibacter	Anaerotaenia	Anaerotignum	Anaerotruncus	Arsenophonus	Arsukibacterium	Asaccharospora	Atlantibacter	Azospira	Bowmanella	Brenneria	Bruguierivorax	Buttiauxella	Caecibacterium	Caproicibacter	Catenibacillus	Cedecea	Chimaeribacter	Cronobacter	Edwardsiella	Emergencia	Erwinia	Ewingella	Faecalicatena	Fournierella	Franconibacter	Gallaecimonas	Gehongia	Gibbsiella	Gluceribacter	Gorbachella	Gracilibacter	Grimontia	Haemophilus	Hominisplanchenecus	Ilyobacter	Jinshanibacter	Kosakonia	Lawsonibacter	Lelliottia	Ligilactobacillus	Limosilactobacillus	Loigolactobacillus	Mannheimia	Mobilisporobacter	Morganella	Musicola	Nissabacter	Noviherbaspirillum	Odoribacter	Oliverpabstia	Papillibacter	Parabacteroides	Phascolarctobacterium	Pluralibacter	Prevotella	Providencia	Pseudenterobacter	Pseudescherichia	Pseudomonas	Pseudoruminococcus	Rheinheimera	Robinsoniella	Rosenbergiella	Ructibacterium	Scandinavium	Shimwellia	Siccibacter	Sporobacter	Tatumella	Terrisporobacter	Thalassotalea	Thaumasiovibrio	Thermanaerosceptrum	Thiosulfativibrio	Thorsellia	Tumebacillus	Vibrio	Wujia	Yokenella	Adlercreutzia	Agrilactobacillus	Anaerococcus	Anaerovorax	Bariatricus	Eggerthella	Eremococcus	Finegoldia	Gordonibacter	Holdemania	Intestinibacillus	Latilactobacillus	Mammaliicoccus	Massilimicrobiota	Mordavella	Muricomes	Paeniclostridium	Parasutterella	Peptoniphilus	Phyllobacterium	Ralstonia	Solibaculum	Suicoccus	Syntrophococcus	Turicibacter	Tyzzerella	Veillonella	Butyribacter	Delftia	Leuconostoc	Pseudoclostridium	Massilia	Monoglobus	Neisseria	Akkermansia	Anaerocolumna	Barnesiella	Bifidobacterium	Catenibacterium	Corticibacterium	Cutibacterium	Dechloromonas	Duncaniella	Duodenibacillus	Haloplasma	Hwanghaeella	Ihubacter	Lacticaseibacillus	Longibaculum	Metaprevotella	Paraclostridium	Pelobium	Prolixibacter	Raoultibacter	Sporacetigenium	Stenotrophomonas
BOS09	1	2	5	1	1	5	1	1	14	2	39	1	3	3	2	1	1	1	1	9	6	1	1	1	1	1	6	1	1	3	9	1	19	4	1	1	61	1	1	14	1	2	1	2	6	1	4	78	2	1	7	2	12	6	2	3	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	7	2	1	1	1	1	11	4	4	7	6	20	15	1	2	8	1	1	7	1	1	1	1	20	50	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS11	0	1	4	0	0	28	2	0	10	0	167	0	0	13	0	0	0	0	5	65	194	0	0	32	0	0	71	17	1	0	270	1	8	23	1	0	164	3	2	32	104	1	0	1	12	0	0	16473	34	2	63	4	8	0	0	10	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	0	48	0	0	2	13	26	0	81	40	102	77	20	51	16	9	0	1	0	10	7	0	14	15	0	15	0	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	5	2	6	1	2	2	5	3	4	3	2	44	1	7	1	17	1	5	5	3	1	4	2	1	6	1	5	115	2	20	1	3	6	1	1	5	1	2	1	3	19	2	1	2	3	3	11	19	6	1	1	3	2	1	3	3	2	4	5	25	9	1	1	3	1	1	1	12	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS16	0	1	27	0	0	13	0	0	246	0	1308	0	0	46	4	0	0	0	0	0	25	0	0	2	0	0	125	0	0	8	0	32	192	0	0	21	193	12	0	41	8	2	0	0	12	0	0	0	0	0	6	4	1022	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	79	0	0	0	1	4	401	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	2	0	0	0	5	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	4	91	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	810	1	1	3	4	485	1	3	98	1	1	7	3	1	1	7	50	5	11	13	2	1	3	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS21	1	1	0	0	0	2	0	0	2	0	16	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	6	0	0	0	0	2	0	0	0	0	16	0	1	1	8	0	0	0	0	0	0	3	0	1	2	1	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	6	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOS23	0	0	2	0	0	2	0	0	1	0	24	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	10	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTC	0	1	0	3	0	7	0	0	15	0	46	0	0	1	0	0	0	0	0	0	20	0	0	6	0	0	21	0	0	0	0	3	3	1	0	0	52	1	0	16	20	0	3	1	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	22	1	0	0	49	12	18	0	0	2	0	0	111	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	11	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	13	2	60	34	5	1	3	1	2	1	1	1	1	2	3	1	1	1	1	3	1	1
