Sample_Name	Actinomycetota	Bacillota	Bacteroidota	Candidatus Melainabacteria	Mycoplasmatota	Pseudomonadota	Campylobacterota	Fusobacteriota	Verrucomicrobiota
BOS09	0.001589825119236884	0.6836248012718601	0.04451510333863275	0.001589825119236884	0.003179650238473768	0.2655007949125596	0	0	0
BOS11	6.714876033057851e-4	0.08419421487603305	0.0015495867768595042	0	0	0.9133780991735537	1.5495867768595042e-4	5.165289256198347e-5	0
BOS16	0.0017165277096615988	0.9536537518391368	0.0400931829328102	0	0	0.004536537518391368	0	0	0
BOS21	0	0.696551724137931	0.020689655172413793	0	0	0.2827586206896552	0	0	0
BOS23	0	0.7548387096774194	0.025806451612903226	0	0	0.21935483870967742	0	0	0
NTC	0.055408970976253295	0.6912928759894459	0.21108179419525067	0	0.002638522427440633	0.022427440633245383	0	0	0.017150395778364115
